
1	|	How is our financial performance versus analyst estimates	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	mea	O	cmp	cmp
25	|	What was the revenue for the last rolling four quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	I_where	I_where	I_where
26	|	What was the margin for the last half year in Germany	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	I_where	I_where	O	B_where
27	|	What was the margin for the last half year for Objects Cloud	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	I_where	I_where	O	B_where	I_where
28	|	What was the margin for the last half year for our cloud software	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	I_where	I_where	O	O	B_where	O
29	|	How was the growth rate in the last four quarters	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	O	B_where	I_where	I_where
30	|	What is the revenue compared to Oracle	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	O	O	cmp
31	|	Tell me the key driver of the on-premise revenue	|	FIN	|	Lookup	|	Product	|	O	O	O	argm	O	O	O	B_where	mea
32	|	Who are the key market units of our cloud revenue	|	FIN	|	Lookup	|	Location	|	O	O	O	argm	res	res	O	O	B_where	mea
33	|	Tell me what does the cost structure in the United States look like	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	O	mea	mea	O	O	B_where	I_where	O	O
34	|	Tell me what does the cost structure in the United States look like compared to Germany	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	mea	mea	O	O	cmp	cmp	O	O	O	O	cmp
35	|	What are our travel and entertainment expenses in Germany	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	I_where	I_where	mea	O	B_where
36	|	Show us all travel and entertainment expenses for Germany	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	I_where	I_where	mea	O	B_where
37	|	How much travel and entertainment expenses does Germany have	|	FIN	|	Lookup	|	Numeric	|	O	O	B_where	I_where	I_where	mea	O	B_where	O
38	|	What is the key driver of the license revenue	|	FIN	|	Lookup	|	Product	|	O	O	O	argm	O	O	O	B_where	mea
39	|	What is the year over year growth rate for product HANA per region	|	FIN	|	Calculate	|	Numeric	|	O	O	O	grpby	grpby	grpby	mea	mea	O	O	B_where	O	grpby
40	|	What is the software license revenue for the last quarter	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	O	mea	O	O	B_where	I_where
41	|	Show us the quarterly software revenue for the last year	|	FIN	|	Lookup	|	Numeric	|	O	O	O	grpby	B_where	mea	O	O	B_where	I_where
42	|	What is the revenue for our services offerings	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	O
43	|	What is the total profit for Germany in the first two quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	B_where	O	O	B_where	I_where	I_where
44	|	Show the cloud profit for North America in this year	|	FIN	|	Lookup	|	Numeric	|	O	O	B_where	mea	O	B_where	I_where	O	B_where	I_where
45	|	Which region has the highest profits	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	mea
46	|	What is our profit for the last four years	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	I_where	I_where
47	|	What is the trend of the profit in APJ during the last two quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	O	O	mea	O	B_where	O	O	B_where	I_where	I_where
48	|	Show the profit trend for APJ in the last four years	|	FIN	|	Lookup	|	Numeric	|	O	O	mea	O	O	B_where	O	O	B_where	I_where	I_where
49	|	How has our profit evolved over the last four years	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	O	B_where	I_where	I_where
50	|	What are the 5 biggest countries based on revenue	|	FIN	|	Lookup	|	Location	|	O	O	O	argm	argm	res	O	O	mea
51	|	Show the three countries with the highest growth rates	|	FIN	|	Calculate	|	Location	|	O	O	argm	res	O	O	argm	mea	mea
52	|	For which country is the cloud revenue growth rates the highest	|	FIN	|	Calculate	|	Location	|	O	O	res	O	O	B_where	mea	mea	mea	O	argm
53	|	What is our total revenue	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	mea
54	|	What is the total revenue for EMEA	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	B_where
55	|	What is the cloud share of our total revenue	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	oper	O	O	O	mea
56	|	Show all countries that have decreasing revenue digits	|	FIN	|	Calculate	|	Location	|	O	O	res	O	O	oper	mea	O
57	|	Compare the gross margin for our cloud and software products	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	O	O	cmp	O	cmp	O
58	|	What is the gross profit for our cloud products between France and Italy	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	mea	O	O	B_where	O	O	cmp	O	cmp
59	|	Show us the gross margin for all categories	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	O	grpby
60	|	What are this years marketing costs per market unit	|	FIN	|	Lookup	|	Numeric	|	O	O	B_where	I_where	B_where	mea	O	grpby	grpby
61	|	What are the gross margin differences between Germany and Austria	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	mea	O	O	cmp	O	cmp
62	|	Calculate the gross margin differences of cloud and software products	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	O	O	cmp	O	cmp	O
63	|	Calculate the gross profit for each product	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	grpby
64	|	Which country has the highest cloud stake of our revenue	|	FIN	|	Calculate	|	Location	|	O	res	O	O	argm	B_where	oper	O	O	mea
65	|	What was the cloud stake of our total revenue in 2016	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	oper	O	O	O	mea	O	B_where
66	|	What was our gross margin for each product last quarter	|	FIN	|	Lookup	|	Product	|	O	O	O	O	mea	O	O	grpby	B_where	I_where
67	|	Display the cloud gross profit per region in the last two quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	B_where	O	mea	O	grpby	O	O	B_where	I_where	I_where
68	|	How high was the revenue stake of EMEA in 2016	|	FIN	|	Calculate	|	Numeric	|	O	O	O	O	mea	oper	O	B_where	O	B_where
69	|	Show the stake of last quarters revenue	|	FIN	|	Calculate	|	Numeric	|	O	O	oper	O	B_where	I_where	mea
70	|	Show the percentage of each market unit for our total cloud revenue	|	FIN	|	Calculate	|	Numeric	|	O	O	oper	O	O	grpby	grpby	O	O	O	B_where	mea
71	|	Compare the gross profit for our software and cloud products in America	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	O	O	cmp	O	cmp	O	O	B_where
72	|	What is the difference between cloud gross margin and software	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	cmp	O	mea	O	cmp
73	|	What are the key influencer for our operating profit	|	FIN	|	Lookup	|	Location	|	O	O	O	argm	O	O	O	mea	mea
74	|	Show total revenue for DACH in the last quarter	|	FIN	|	Lookup	|	Numeric	|	O	O	mea	O	B_where	O	O	B_where	I_where
75	|	Which region has had the lowest cloud growth rates	|	FIN	|	Calculate	|	Location	|	O	res	O	O	O	argm	B_where	mea	mea
76	|	Which region has had the lowest cloud growth rates in the last quarter	|	FIN	|	Calculate	|	Location	|	O	res	O	O	O	argm	B_where	mea	mea	O	O	B_where	I_where
77	|	Which countries have had earned the least revenue across the company in Q1	|	FIN	|	Lookup	|	Location	|	O	res	O	O	O	O	argm	mea	O	O	O	O	B_where
78	|	Which market unit has the worst year over year growth rates	|	FIN	|	Calculate	|	Location	|	O	res	res	O	O	argm	grpby	grpby	grpby	mea	mea
79	|	Show the bottom 3 market units in relation to on-premise revenue	|	FIN	|	Lookup	|	Location	|	O	O	argm	argm	res	res	O	O	O	B_where	mea
80	|	Which countries have the lowest impact on our cloud revenue	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	O	O	O	B_where	mea
81	|	Which region generates the most on-premise revenue	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	mea
82	|	What is the revenue over the last four quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	I_where	I_where
83	|	How does the margin development for HANA looks like in the last four quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	O	O	O	O	B_where	I_where	I_where
84	|	What is the revenue in EMEA over the last four quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	O	O	B_where	I_where	I_where
85	|	Which region generates the most cloud traffic	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	O
86	|	What is the cloud revenue compared to the same quarter of last year	|	FIN	|	Comparison	|	Numeric	|	O	O	O	B_where	mea	O	O	O	cmp	cmp	O	cmp	cmp
87	|	What is the total on-premise revenue in Indonesia compared to last year	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	B_where	mea	O	B_where	O	O	cmp	cmp
88	|	Which product has generated the highest cloud revenues	|	FIN	|	Lookup	|	Product	|	O	res	O	O	O	argm	B_where	mea
89	|	Show all products with higher revenue figures than one billion dollars	|	FIN	|	Lookup	|	Product	|	O	O	res	O	oper	mea	O	O	cmp	cmp	O
90	|	What is the margin for our cloud products in Great Britain	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	B_where	O	O	B_where	I_where
91	|	What is the cloud margin for Germany compared to China	|	FIN	|	Comparison	|	Numeric	|	O	O	O	B_where	mea	O	cmp	O	O	cmp
92	|	Compared to Germany which countries have higher cloud growth rates	|	FIN	|	Comparison	|	Location	|	O	O	cmp	O	res	O	oper	B_where	mea	mea
93	|	In comparison to APJ which region generates more service revenues	|	FIN	|	Comparison	|	Location	|	O	O	O	cmp	O	res	O	oper	B_where	mea
94	|	Show all regions that have higher revenue digits than Americas	|	FIN	|	Comparison	|	Location	|	O	O	res	O	O	oper	mea	O	O	cmp
95	|	Show all countries with double digit cloud growth rates	|	FIN	|	Calculate	|	Location	|	O	O	res	O	oper	oper	B_where	mea	mea
96	|	Which countries do not have double digit revenue growth rates	|	FIN	|	Calculate	|	Location	|	O	res	O	oper	O	oper	oper	mea	mea	mea
97	|	Which products have achieved double digit growth rates in the last year	|	FIN	|	Calculate	|	Product	|	O	res	O	O	oper	oper	mea	mea	O	O	B_where	I_where
98	|	Which countries have rising revenue growth rates	|	FIN	|	Calculate	|	Location	|	O	res	O	oper	mea	mea	mea
99	|	In which countries are the revenue growth rates increasing	|	FIN	|	Calculate	|	Location	|	O	O	res	O	O	mea	mea	mea	oper
100	|	For which countries are the cloud revenue figures increasing	|	FIN	|	Calculate	|	Location	|	O	O	res	O	O	B_where	mea	O	oper
101	|	In which countries are the cloud revenue figures decreasing	|	FIN	|	Lookup	|	Location	|	O	O	res	O	O	B_where	mea	O	oper
102	|	Which country has the highest cloud revenue growth rates	|	FIN	|	Calculate	|	Location	|	O	res	O	O	argm	B_where	mea	mea	mea
103	|	What is the total cloud revenue	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	B_where	mea
104	|	Show the total cloud revenue across the company	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	O	O
105	|	Show the total cloud revenue in Poland	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	B_where
106	|	Which region has the highest cloud revenue growth rates	|	FIN	|	Calculate	|	Location	|	O	res	O	O	argm	B_where	mea	mea	mea
107	|	Show the region with the lowest growth rates for cloud products	|	FIN	|	Calculate	|	Location	|	O	O	res	O	O	argm	mea	mea	O	B_where	O
108	|	How many market units have double digit growth rates	|	FIN	|	Calculate	|	Numeric	|	O	oper	grpby	grpby	O	oper	oper	mea	mea
109	|	Which regions have higher growth rates than 10 percent	|	FIN	|	Calculate	|	Location	|	O	res	O	oper	mea	mea	O	cmp	cmp
110	|	Tell us the number of regions that have a lower cloud growth rate than 10 percent	|	FIN	|	Calculate	|	Numeric	|	O	O	O	oper	O	grpby	O	O	O	oper	B_where	mea	mea	O	cmp	cmp
111	|	What is the total growth rate across the company	|	FIN	|	Calculate	|	Numeric	|	O	O	O	O	mea	mea	O	O	O
112	|	What is the growth rate for our cloud services	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	O	B_where	O
113	|	Tell us the growth rate for all cloud products	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	O	B_where	O
114	|	Show us the total growth rate across the whole company	|	FIN	|	Calculate	|	Numeric	|	O	O	O	O	mea	mea	O	O	O	O
115	|	Total growth rate across SAP	|	FIN	|	Calculate	|	Numeric	|	O	mea	mea	O	O
116	|	What is the total growth rate across SAP	|	FIN	|	Calculate	|	Numeric	|	O	O	O	O	mea	mea	O	O
117	|	What is the total growth rate for cloud services in North America	|	FIN	|	Calculate	|	Numeric	|	O	O	O	O	mea	mea	O	B_where	O	O	B_where	I_where
118	|	How many quarters have had higher cloud growth rates than 10 percent	|	FIN	|	Calculate	|	Numeric	|	O	oper	grpby	O	O	oper	B_where	mea	mea	O	cmp	cmp
119	|	How many quarters have had double digit growth rates	|	FIN	|	Calculate	|	Numeric	|	O	oper	grpby	O	O	oper	oper	mea	mea
120	|	What are our on-premise costs across the company	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	O	O
121	|	How high are our cloud service costs in China	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	B_where	O	mea	O	B_where
122	|	What is our cloud profit in Saudi Arabia	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	B_where	I_where
123	|	Which country has the highest profit rates	|	FIN	|	Calculate	|	Location	|	O	res	O	O	argm	mea	mea
124	|	What is the country with the highest cloud profitability	|	FIN	|	Lookup	|	Location	|	O	O	O	res	O	O	argm	B_where	mea
125	|	How high are our costs for marketing	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	B_where
126	|	What are our travel and entertainment costs in Japan	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	I_where	I_where	mea	O	B_where
127	|	Which country has the highest travel and entertainment costs	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	I_where	I_where	mea
128	|	Which countries generate the most costs	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	mea
129	|	What are the highest costs across SAP	|	FIN	|	Lookup	|	Numeric	|	O	O	O	argm	mea	O	O
130	|	What are the costs for marketing in Germany	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	O	B_where
131	|	What is our marketing spend in Croatia	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	B_where
132	|	What is the spend for research and development	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	I_where	I_where
133	|	What is the spend for travel and entertainment in Denmark	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	I_where	I_where	O	B_where
134	|	What is our total marketing spend	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	B_where	mea
135	|	What is our marketing spend in Latin America	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	B_where	I_where
136	|	Tell us the total marketing spend for China	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	B_where	mea	O	B_where
137	|	What is our annually research and development spend	|	FIN	|	Lookup	|	Numeric	|	O	O	O	grpby	B_where	I_where	I_where	mea
138	|	What are our cloud hardware costs	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	O	mea
139	|	What are our monthly hardware costs to run the cloud software	|	FIN	|	Lookup	|	Numeric	|	O	O	O	grpby	O	mea	O	O	O	B_where	O
140	|	What does our financial performance look like in the last 4 quarters	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	O	O	O	B_where	I_where	I_where
141	|	Show us our total revenue compared to the total costs during the last 4 quarters	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	cmp	O	O	O	O	cmp	O	O	B_where	I_where	I_where
142	|	What is the profit of our cloud services compared to on-premise services	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	O	O	cmp	O	O	O	cmp	O
143	|	How high are our operating expenses	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	mea	mea
144	|	What are our operating expenses in Germany	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	mea	O	B_where
145	|	What are our operating expenses in France compared to Spain	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	mea	O	cmp	O	O	cmp
146	|	What is our marketing spend per region	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	grpby
147	|	Which locations have the highest marketing spend in North America	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	mea	O	B_where	I_where
148	|	Show the revenue per region	|	FIN	|	Lookup	|	Numeric	|	O	O	mea	O	grpby
149	|	What is the total revenue per region	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	grpby
150	|	What does the total spend look like per region	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	O	O	grpby
151	|	What is the gross revenue in India	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	mea	O	B_where
152	|	What is our year over year growth rate over the past 3 years	|	FIN	|	Calculate	|	Numeric	|	O	O	O	grpby	grpby	grpby	mea	mea	O	O	B_where	I_where	I_where
153	|	What is the revenue stake per region	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	oper	O	grpby
154	|	What is the quarterly trend of our on-premise revenue	|	FIN	|	Lookup	|	Numeric	|	O	O	O	grpby	O	O	O	B_where	mea
155	|	What is the gross revenue for Europe	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	mea	O	B_where
156	|	Which region has the strongest cloud growth rates	|	FIN	|	Calculate	|	Location	|	O	res	O	O	argm	B_where	mea	mea
157	|	Show the total cloud growth rates per region	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	mea	mea	O	grpby
158	|	What is the total growth rate for cloud products split by region	|	FIN	|	Calculate	|	Numeric	|	O	O	O	O	mea	mea	O	B_where	O	O	O	grpby
159	|	Show the profitability across the cloud sector	|	FIN	|	Lookup	|	Numeric	|	O	O	mea	O	O	B_where	O
160	|	How profitable is the on-premise business	|	FIN	|	Lookup	|	Numeric	|	O	mea	O	O	B_where	O
161	|	Which market units has the highest cloud profitability	|	FIN	|	Lookup	|	Location	|	O	res	res	O	O	argm	B_where	mea
162	|	Which region has the lowest cloud profitability	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	mea
163	|	Show the two countries with the highest profit margin	|	FIN	|	Lookup	|	Location	|	O	O	argm	res	O	O	argm	mea	mea
164	|	What are the cloud margins for China and Japan	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	B_where	O	B_where
165	|	Show the gross revenue for Austria and Switzerland	|	FIN	|	Lookup	|	Numeric	|	O	O	mea	mea	O	B_where	O	B_where
166	|	What is the total cloud revenue for Spain and Italy	|	FIN	|	Lookup	|	Numeric	|	O	O	O	O	B_where	mea	O	B_where	O	B_where
167	|	Tell the total marketing spend for all countries belonging to South America	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	O	grpby	O	O	B_where	I_where
168	|	What is the on-premise revenue for countries in APJ	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	grpby	O	B_where
169	|	Which market units generate more cloud revenue than the US	|	FIN	|	Comparison	|	Location	|	O	res	res	O	oper	B_where	mea	O	O	cmp
170	|	Compared to the US which market units generate higher cloud growth rates	|	FIN	|	Comparison	|	Location	|	O	O	O	cmp	O	res	res	O	oper	B_where	mea	mea
171	|	What are the revenue numbers between cloud and on-premise	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	O	O	cmp	O	cmp
172	|	What is the difference in revenue between on-premise and cloud	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	mea	O	cmp	O	cmp
173	|	What is the on-premise revenue compared to cloud	|	FIN	|	Comparison	|	Numeric	|	O	O	O	cmp	mea	O	O	cmp
174	|	What is the cloud revenue compared to on-premise revenue	|	FIN	|	Comparison	|	Numeric	|	O	O	O	cmp	mea	O	O	cmp	mea
175	|	Which country runs the most profitable cloud business	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	mea	B_where	O
176	|	Which country has the highest profitability regarding cloud services	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	mea	O	B_where	O
177	|	Which are the 3 biggest locations based on revenue	|	FIN	|	Lookup	|	Location	|	O	O	O	argm	argm	res	O	O	mea
178	|	What is the difference in revenue between Germany and Spain	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	mea	O	cmp	O	cmp
179	|	Show the differences between India and China for revenues	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	cmp	O	cmp	O	mea
180	|	What were our revenue growth rates for 2016	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	B_where
181	|	What are our revenue growth rates per market unit	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	grpby	grpby
182	|	What were our revenue growth rates for last year	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	B_where	I_where
183	|	What are the revenue growth rates per location	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	grpby
184	|	What were the revenue growth rates per location in 2016	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	grpby	O	B_where
185	|	What are our revenue growth rates for this year	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	B_where	I_where
186	|	Which region had the best performance based on revenue in the last quarter	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	O	O	O	mea	O	O	B_where	I_where
187	|	Which region was performing the best last year regarding their profit	|	FIN	|	Lookup	|	Location	|	O	res	O	O	O	argm	B_where	I_where	O	O	mea
188	|	What was the revenue per product in the last quarters	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	grpby	O	O	B_where	I_where
189	|	Show the top 3 products for each region based on revenue	|	FIN	|	Lookup	|	Product	|	O	O	argm	argm	res	O	O	grpby	O	O	mea
190	|	What are the gains in cloud revenue between this year and last year	|	FIN	|	Comparison	|	Numeric	|	O	O	O	O	O	B_where	mea	O	cmp	cmp	O	cmp	cmp
191	|	What are the cloud growth rates per quarter	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	mea	mea	O	grpby
192	|	What are the revenue growth rates in EMEA per quarter in the last year	|	FIN	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	B_where	O	grpby	O	O	B_where	I_where
193	|	What was the revenue per quarter in 2017	|	FIN	|	Lookup	|	Numeric	|	O	O	O	mea	O	grpby	O	B_where
194	|	What is the share of the cloud revenue per region	|	FIN	|	Calculate	|	Numeric	|	O	O	O	oper	O	O	B_where	mea	O	grpby
195	|	Which region has the highest share of cloud revenue	|	FIN	|	Calculate	|	Location	|	O	res	O	O	argm	oper	O	B_where	mea
196	|	Which region has the lowest share of our cloud revenue	|	FIN	|	Calculate	|	Location	|	O	res	O	O	argm	oper	O	O	B_where	mea
197	|	Which region has the biggest cloud margins	|	FIN	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	mea
198	|	What are the cloud margins per market unit	|	FIN	|	Lookup	|	Location	|	O	O	O	B_where	mea	O	grpby	grpby
199	|	Show all countries that have a higher service revenue than 5 million	|	FIN	|	Lookup	|	Location	|	O	O	res	O	O	O	oper	B_where	mea	O	cmp	cmp
200	|	Show the cloud revenue per country in this year	|	FIN	|	Lookup	|	Numeric	|	O	O	B_where	mea	O	grpby	O	B_where	I_where
201	|	What was the cloud profit in Germany last quarter	|	FIN	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	O	B_where	B_where	I_where
202	|	Show our revenue distribution per region	|	FIN	|	Lookup	|	Numeric	|	O	O	mea	O	O	grpby
203	|	In the past year what was the cloud revenue in South Africa	|	FIN	|	Lookup	|	Numeric	|	O	O	B_where	I_where	O	O	O	B_where	mea	O	B_where	I_where
204	|	For each quarter of the past 4 quarters what was the cloud revenue	|	FIN	|	Lookup	|	Numeric	|	O	O	grpby	O	O	B_where	I_where	I_where	O	O	O	B_where	mea
205	|	What were the cloud growth rates for the last four quarters	|	FIN	|	Calculate	|	Numeric	|	O	O	O	B_where	mea	mea	O	O	B_where	I_where	I_where
206	|	In which country were the on-premise growth rates stagnating	|	FIN	|	Calculate	|	Location	|	O	O	res	O	O	B_where	mea	mea	oper
207	|	Which region has stagnating cloud revenue growth rates	|	FIN	|	Calculate	|	Location	|	O	res	O	oper	B_where	mea	mea	mea
